date,close,regime,p_bull,exposure,ret,equity,trade
2025-07-30,632.7059,BULL,0.999347,1.0,-0.001259,1051154.22,HOLD
2025-07-31,630.3325,BULL,0.999309,1.0,-0.003751,1047211.12,HOLD
2025-08-01,620.001,BULL,0.996052,1.0,-0.01639,1030046.88,HOLD
2025-08-04,629.4249,BULL,0.997454,1.0,0.0152,1045703.38,HOLD
2025-08-05,626.2338,BULL,0.999409,1.0,-0.00507,1040401.7,HOLD
2025-08-06,631.0305,BULL,0.999484,1.0,0.00766,1048370.85,HOLD
2025-08-07,630.502,BULL,0.999635,1.0,-0.000838,1047492.71,HOLD
2025-08-08,635.4183,BULL,0.99949,1.0,0.007798,1055660.61,HOLD
2025-08-11,634.1618,BULL,0.999619,1.0,-0.001977,1053573.06,HOLD
2025-08-12,640.9131,BULL,0.999247,1.0,0.010646,1064789.49,HOLD
2025-08-13,643.1071,BULL,0.99961,1.0,0.003423,1068434.37,HOLD
2025-08-14,643.1669,BULL,0.999643,1.0,9.3e-05,1068533.74,HOLD
2025-08-15,641.6611,BULL,0.999616,1.0,-0.002341,1066032.06,HOLD
2025-08-18,641.5214,BULL,0.999643,1.0,-0.000218,1065800.05,HOLD
2025-08-19,638.0411,BULL,0.999508,1.0,-0.005425,1060017.93,HOLD
2025-08-20,636.3458,BULL,0.999596,1.0,-0.002657,1057201.4,HOLD
2025-08-21,633.7928,BULL,0.999569,1.0,-0.004012,1052960.08,HOLD
2025-08-22,643.5259,BULL,0.997948,1.0,0.015357,1069130.18,HOLD
2025-08-25,640.6937,BULL,0.99938,1.0,-0.004401,1064424.84,HOLD
2025-08-26,643.3763,BULL,0.999542,1.0,0.004187,1068881.64,HOLD
2025-08-27,644.8422,BULL,0.999583,1.0,0.002279,1071317.1,HOLD
2025-08-28,647.1259,BULL,0.999569,1.0,0.003541,1075111.04,HOLD
2025-08-29,643.2666,BULL,0.999381,1.0,-0.005964,1068699.42,HOLD
2025-09-02,638.4998,BULL,0.999362,1.0,-0.00741,1060780.06,HOLD
2025-09-03,641.9602,BULL,0.99957,1.0,0.00542,1066529.02,HOLD
2025-09-04,647.3253,BULL,0.999448,1.0,0.008357,1075442.42,HOLD
2025-09-05,645.4505,BULL,0.999595,1.0,-0.002896,1072327.67,HOLD
2025-09-08,647.0361,BULL,0.999637,1.0,0.002457,1074961.98,HOLD
2025-09-09,648.532,BULL,0.999633,1.0,0.002312,1077447.13,HOLD
2025-09-10,650.4068,BULL,0.999626,1.0,0.002891,1080561.88,HOLD
2025-09-11,655.8118,BULL,0.999421,1.0,0.00831,1089541.6,HOLD
2025-09-12,655.5924,BULL,0.999614,1.0,-0.000335,1089177.06,HOLD
2025-09-15,659.0827,BULL,0.999568,1.0,0.005324,1094975.71,HOLD
2025-09-16,658.1752,BULL,0.999613,1.0,-0.001377,1093468.07,HOLD
2025-09-17,657.3575,BULL,0.999618,1.0,-0.001242,1092109.59,HOLD
2025-09-18,660.429,BULL,0.999573,1.0,0.004672,1097212.42,HOLD
2025-09-19,663.7,BULL,0.999559,1.0,0.004953,1102646.73,HOLD
2025-09-22,666.84,BULL,0.999549,1.0,0.004731,1107863.43,HOLD
2025-09-23,663.21,BULL,0.999342,1.0,-0.005444,1101832.67,HOLD
2025-09-24,661.1,BULL,0.999421,1.0,-0.003182,1098327.12,HOLD
2025-09-25,658.05,BULL,0.999397,1.0,-0.004614,1093259.98,HOLD
2025-09-26,661.82,BULL,0.999433,1.0,0.005729,1099523.35,HOLD
2025-09-29,663.68,BULL,0.999519,1.0,0.00281,1102613.46,HOLD
2025-09-30,666.18,BULL,0.999452,1.0,0.003767,1106766.87,HOLD
2025-10-01,668.45,BULL,0.999313,1.0,0.003408,1110538.2,HOLD
2025-10-02,669.22,BULL,0.999319,1.0,0.001152,1111817.38,HOLD
2025-10-03,669.21,BULL,0.99921,1.0,-1.5e-05,1111800.85,HOLD
2025-10-06,671.61,BULL,0.999078,1.0,0.003586,1115788.06,HOLD
2025-10-07,669.12,BULL,0.999101,1.0,-0.003707,1111651.28,HOLD
2025-10-08,673.11,BULL,0.999097,1.0,0.005963,1118280.1,HOLD
2025-10-09,671.16,BULL,0.999252,1.0,-0.002897,1115040.42,HOLD
2025-10-10,653.02,BULL,0.829805,1.0,-0.027028,1084903.37,HOLD
2025-10-13,663.04,BULL,0.940336,1.0,0.015344,1101550.16,HOLD
2025-10-14,662.23,BULL,0.995693,1.0,-0.001222,1100204.46,HOLD
2025-10-15,665.17,BULL,0.999224,1.0,0.00444,1105088.87,HOLD
2025-10-16,660.64,BULL,0.999133,1.0,-0.00681,1097562.95,HOLD
2025-10-17,664.39,BULL,0.99936,1.0,0.005676,1103793.06,HOLD
2025-10-20,671.3,BULL,0.998839,1.0,0.0104,1115273.03,HOLD
2025-10-21,671.29,BULL,0.999386,1.0,-1.5e-05,1115256.4,HOLD
2025-10-22,667.8,BULL,0.999223,1.0,-0.005199,1109458.26,HOLD
2025-10-23,671.76,BULL,0.999291,1.0,0.00593,1116037.29,HOLD
2025-10-24,677.25,BULL,0.999111,1.0,0.008173,1125158.16,HOLD
2025-10-27,685.24,BULL,0.998287,1.0,0.011798,1138432.43,HOLD
2025-10-28,687.06,BULL,0.999221,1.0,0.002656,1141456.12,HOLD
2025-10-29,687.39,BULL,0.999313,1.0,0.00048,1142004.4,HOLD
2025-10-30,679.83,BULL,0.997221,1.0,-0.010998,1129444.5,HOLD
2025-10-31,682.06,BULL,0.998877,1.0,0.00328,1133149.31,HOLD
2025-11-03,683.34,BULL,0.999087,1.0,0.001877,1135275.9,HOLD
2025-11-04,675.24,BULL,0.995498,1.0,-0.011854,1121818.8,HOLD
2025-11-05,677.58,BULL,0.998304,1.0,0.003465,1125706.43,HOLD
2025-11-06,670.31,BULL,0.99541,1.0,-0.010729,1113628.29,HOLD
2025-11-07,670.97,BULL,0.998084,1.0,0.000985,1114724.75,HOLD
2025-11-10,681.44,BULL,0.996937,1.0,0.015604,1132119.27,HOLD
2025-11-11,683.0,BULL,0.999459,1.0,0.002289,1134710.99,HOLD
2025-11-12,683.38,BULL,0.999595,1.0,0.000556,1135342.32,HOLD
2025-11-13,672.04,BULL,0.993385,1.0,-0.016594,1116502.42,HOLD
2025-11-14,671.93,BULL,0.999062,1.0,-0.000164,1116319.69,HOLD
2025-11-17,665.67,BULL,0.998568,1.0,-0.009316,1105919.54,HOLD
2025-11-18,660.08,BULL,0.998779,1.0,-0.008398,1096632.58,HOLD
2025-11-19,662.63,BULL,0.99936,1.0,0.003863,1100869.04,HOLD
2025-11-20,652.53,BULL,0.993808,1.0,-0.015242,1084089.31,HOLD
2025-11-21,659.03,BULL,0.997382,1.0,0.009961,1094888.17,HOLD
2025-11-24,668.73,BULL,0.99412,1.0,0.014719,1111003.31,HOLD
2025-11-25,675.02,BULL,0.997159,1.0,0.009406,1121453.35,HOLD
2025-11-26,679.68,BULL,0.998187,1.0,0.006903,1129195.26,HOLD
2025-11-28,683.39,BULL,0.99845,1.0,0.005458,1135358.95,HOLD
2025-12-01,680.27,BULL,0.99859,1.0,-0.004565,1130175.51,HOLD
2025-12-02,681.53,BULL,0.998944,1.0,0.001852,1132268.84,HOLD
2025-12-03,683.89,BULL,0.998934,1.0,0.003463,1136189.63,HOLD
2025-12-04,684.39,BULL,0.99921,1.0,0.000731,1137020.31,HOLD
2025-12-05,685.69,BULL,0.999242,1.0,0.001899,1139180.06,HOLD
2025-12-19,680.59,BULL,0.999285,1.0,0.009063,1149504.98,HOLD
